查询操作,同义,query
插入操作,同义,insert
删除操作,同义,delete
修改操作,同义,update
选择,同义,select
投影,同义,project
连接,同义,join
除,同义,devide
事务,拥有,ACID特性
数据库系统,拥有,故障
数据转储,拥有,转储方式
数据转储,拥有,转储状态
日志文件,拥有,检查点记录
并发控制,拥有,并发操作
并发操作,拥有,数据不一致性
高级索引,拥有,稀疏的
辅助索引,拥有,稠密的
等值连接,反义,非等值连接
不可更新的视图,反义,不允许更新的视图
不相交约束,反义,可重叠约束
弱实体型,反义,强实体型
独占联系,反义,非独占联系
内存数据库,反义,磁盘数据库
非等值连接,反义,等值连接
逻辑地址,被依赖,映射表
映射表,被依赖,物理地址
数据库地址,被依赖,转换表
转换表,被依赖,内存地址
排他锁,被依赖,普通锁
共享锁,被依赖,普通锁
